training_seed,mask_seed,term,unmasked_accuracy,nonrecent_masked_accuracy,random_masked_accuracy,baseline_accuracy,raw_nonrecent_cost_pp,random_deletion_cost_pp,nonrecent_excess_cost_pp,attnres_relative_gain_pp,absolute_ability_pp
1339,20260719,control_raising,63.26,56.75,59.57,63.76,6.509999999999998,3.6899999999999977,2.8200000000000003,-0.5,13.259999999999998
1339,20260720,control_raising,63.26,56.75,58.97,63.76,6.509999999999998,4.289999999999999,2.219999999999999,-0.5,13.259999999999998
1339,20260721,control_raising,63.26,56.75,57.9,63.76,6.509999999999998,5.359999999999999,1.1499999999999986,-0.5,13.259999999999998
1339,20260722,control_raising,63.26,56.75,58.15,63.76,6.509999999999998,5.109999999999999,1.3999999999999986,-0.5,13.259999999999998
1339,20260718,determiner_noun_agreement,86.65,58.53,64.1,86.41,28.120000000000005,22.55000000000001,5.569999999999993,0.2400000000000091,36.650000000000006
1339,20260719,determiner_noun_agreement,86.65,58.53,63.58,86.41,28.120000000000005,23.070000000000007,5.049999999999997,0.2400000000000091,36.650000000000006
1339,20260720,determiner_noun_agreement,86.65,58.53,63.24,86.41,28.120000000000005,23.410000000000004,4.710000000000001,0.2400000000000091,36.650000000000006
1339,20260721,determiner_noun_agreement,86.65,58.53,62.95,86.41,28.120000000000005,23.700000000000003,4.420000000000002,0.2400000000000091,36.650000000000006
1339,20260722,determiner_noun_agreement,86.65,58.53,65.07,86.41,28.120000000000005,21.580000000000013,6.539999999999992,0.2400000000000091,36.650000000000006
1339,20260718,ellipsis,69.75,39.14,36.75,65.64,30.61,33.0,-2.3900000000000006,4.109999999999999,19.75
1339,20260719,ellipsis,69.75,39.14,39.82,65.64,30.61,29.93,0.6799999999999997,4.109999999999999,19.75
1339,20260720,ellipsis,69.75,39.14,40.61,65.64,30.61,29.14,1.4699999999999989,4.109999999999999,19.75
1339,20260721,ellipsis,69.75,39.14,38.71,65.64,30.61,31.04,-0.4299999999999997,4.109999999999999,19.75
1339,20260722,ellipsis,69.75,39.14,39.08,65.64,30.61,30.67,-0.060000000000002274,4.109999999999999,19.75
1339,20260718,filler_gap_dependency,69.4,56.95,61.06,67.36,12.450000000000003,8.340000000000003,4.109999999999999,2.0400000000000063,19.400000000000006
1339,20260719,filler_gap_dependency,69.4,56.95,62.0,67.36,12.450000000000003,7.400000000000006,5.049999999999997,2.0400000000000063,19.400000000000006
1339,20260720,filler_gap_dependency,69.4,56.95,61.27,67.36,12.450000000000003,8.130000000000003,4.32,2.0400000000000063,19.400000000000006
1339,20260721,filler_gap_dependency,69.4,56.95,61.17,67.36,12.450000000000003,8.230000000000004,4.219999999999999,2.0400000000000063,19.400000000000006
1339,20260722,filler_gap_dependency,69.4,56.95,60.96,67.36,12.450000000000003,8.440000000000005,4.009999999999998,2.0400000000000063,19.400000000000006
1339,20260718,irregular_forms,88.33,64.95,75.83,87.28,23.379999999999995,12.5,10.879999999999995,1.0499999999999972,38.33
1339,20260719,irregular_forms,88.33,64.95,71.52,87.28,23.379999999999995,16.810000000000002,6.569999999999993,1.0499999999999972,38.33
1339,20260720,irregular_forms,88.33,64.95,76.72,87.28,23.379999999999995,11.61,11.769999999999996,1.0499999999999972,38.33
